\,A,T,9,8,7,6,5,4,3,2
20,-0.9001,-0.8683,-0.8572,-0.8584,-0.8605,-0.8595,-0.8631,-0.8635,-0.8647,-0.8665
19,,,,,,,,,,
18,,,,,,,,,,
17,,,,,,,,,,
16,,,,,,,,,,
15,,,,,,,,,,
14,,,,,,,,,,
13,,,,,,,,,,
12,,,,,,,,,,
11,,,,,,,,,,
10,,,,,,,,,,
9,,,,,,,,,,
8,,,,,,,,,,
7,,,,,,,,,,
6,,,,,,,,,,
5,,,,,,,,,,
4,,,,,,,,,,
A9,,,,,,,,,,
A8,,,,,,,,,,
A7,,,,,,,,,,
A6,,,,,,,,,,
A5,,,,,,,,,,
A4,,,,,,,,,,
A3,,,,,,,,,,
A2,,,,,,,,,,
AA,,,,,,,,,,
22,,,,,,,,,,
33,,,,,,,,,,
44,,,,,,,,,,
55,,,,,,,,,,
66,,,,,,,,,,
77,,,,,,,,,,
88,,,,,,,,,,
99,,,,,,,,,,
TT,,,,,,,,,,
